,Rank,Restaurant,Content,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
0,1,McDonald's,none,40412,4.9%,13846,-0.5%,N/A,Quick Service & Burger
1,2,Starbucks,none,21380,8.6%,15049,3.0%,N/A,Quick Service & Coffee Cafe
2,3,Chick-fil-A,"While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.",11320,13.0%,2470,5.0%,N/A,Quick Service & Chicken
3,4,Taco Bell,none,11293,9.0%,6766,2.7%,N/A,Quick Service & Mexican
4,5,Burger King,none,10204,2.7%,7346,0.2%,N/A,Quick Service & Burger
5,6,Subway,none,10200,-2.0%,23801,-4.0%,N/A,Quick Service & Sandwich
6,7,Wendy's,none,9762,4.2%,5852,0.7%,N/A,Quick Service & Burger
7,8,Dunkin',"Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.",9228,5.0%,9630,2.2%,N/A,Quick Service & Coffee Cafe
8,9,Domino's,none,7044,6.9%,6126,4.3%,N/A,Quick Service & Pizza
9,10,Panera Bread,none,5890,4.0%,2160,3.2%,N/A,Fast Casual & Bakery Cafe
10,11,Pizza Hut,"The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.",5558,0.6%,7306,-2.4%,N/A,Quick Service & Pizza
11,12,Chipotle Mexican Grill,none,5509,14.8%,2584,5.3%,N/A,Fast Casual & Mexican
12,13,Sonic Drive-In,"The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""",4687,4.6%,3526,-2.1%,N/A,Quick Service & Burger
13,14,KFC,none,4546,2.5%,4065,-0.2%,N/A,Quick Service & Chicken
